transaction_id,customer_id,product_id,quantity,timestamp
1,2903,179,1,2026-01-29T14:32:22.325744
2,1148,49,3,2026-01-28T17:25:22.325744
3,1129,17,5,2026-01-28T05:17:22.325744
4,3992,206,6,2026-02-01T17:57:22.325744
5,4334,278,1,2026-02-03T11:44:22.325744
6,3473,129,2,2026-02-01T10:01:22.325744
7,1885,238,8,2026-01-28T04:52:22.325744
8,2872,212,6,2026-01-29T19:11:22.325744
9,2438,170,8,2026-02-02T06:24:22.325744
10,1425,60,10,2026-01-29T23:11:22.325744
11,3502,90,5,2026-01-28T10:33:22.325744
12,4095,257,2,2026-01-29T16:15:22.325744
13,1467,140,1,2026-01-30T18:28:22.325744
14,1039,45,5,2026-02-03T07:31:22.325744
15,3559,224,1,2026-01-29T02:02:22.325744
16,1653,219,1,2026-02-03T12:20:22.325744
17,3415,12,4,2026-02-05T11:44:22.325744
18,3413,153,3,2026-02-02T01:05:22.325744
19,2908,118,2,2026-02-05T08:53:22.325744
20,3466,107,8,2026-02-04T11:01:22.325744
21,1949,104,8,2026-02-01T06:53:22.325744
22,3191,173,4,2026-02-02T00:23:22.325744
23,2567,206,9,2026-01-30T01:35:22.325744
24,1019,84,5,2026-02-05T23:43:22.325744
25,3829,203,9,2026-02-02T23:28:22.325744
26,1030,264,2,2026-01-27T16:18:22.325744
27,1187,278,3,2026-01-29T09:51:22.325744
28,1852,253,4,2026-02-02T18:59:22.325744
29,1415,177,10,2026-01-28T00:08:22.325744
30,2139,231,1,2026-02-04T10:08:22.325744
31,2300,64,10,2026-02-06T11:04:22.325744
32,3434,271,2,2026-01-29T16:19:22.325744
33,1041,198,9,2026-01-30T22:45:22.325744
34,1990,299,2,2026-01-31T02:22:22.325744
35,3034,169,6,2026-01-30T06:17:22.325744
36,2605,22,2,2026-02-03T22:47:22.325744
37,1577,71,6,2026-01-31T18:19:22.325744
38,1457,136,7,2026-02-05T14:02:22.325744
39,1279,260,3,2026-01-28T19:37:22.325744
40,2771,6,4,2026-02-02T04:35:22.325744
41,4472,83,10,2026-02-02T09:04:22.325744
42,4113,87,9,2026-02-06T06:44:22.325744
43,2420,203,10,2026-02-03T04:42:22.325744
44,3657,160,3,2026-02-04T19:10:22.325744
45,2161,18,2,2026-01-27T16:53:22.325744
46,1036,40,1,2026-02-03T16:50:22.325744
47,2873,23,3,2026-01-28T06:25:22.325744
48,2448,40,4,2026-01-31T14:08:22.325744
49,1583,69,7,2026-01-29T20:26:22.325744
50,4915,241,2,2026-02-03T08:18:22.325744
51,4358,26,6,2026-02-06T08:00:22.325744
52,2243,34,9,2026-02-05T14:28:22.325744
53,4456,212,6,2026-01-28T11:23:22.325744
54,2773,3,9,2026-01-30T06:41:22.325744
55,3260,77,6,2026-01-27T17:39:22.325744
56,1969,150,9,2026-02-06T09:31:22.325744
57,3363,138,9,2026-02-03T18:40:22.325744
58,1370,195,1,2026-02-02T17:42:22.325744
59,4207,130,7,2026-01-28T06:10:22.325744
60,3543,260,8,2026-01-31T03:10:22.325744
61,4207,250,7,2026-01-28T01:09:22.325744
62,3185,17,1,2026-01-27T15:09:22.325744
63,1525,85,5,2026-01-29T17:56:22.325744
64,3357,158,4,2026-02-05T08:26:22.325744
65,1070,34,3,2026-02-02T13:59:22.325744
66,4930,295,3,2026-02-01T03:27:22.325744
67,1715,105,6,2026-02-02T02:15:22.325744
68,1455,28,3,2026-01-28T23:41:22.325744
69,2506,45,9,2026-02-01T01:32:22.325744
70,1116,42,1,2026-02-01T15:50:22.325744
71,1143,99,3,2026-01-27T21:34:22.325744
72,1436,138,10,2026-02-01T10:40:22.325744
73,1960,72,8,2026-01-28T09:52:22.325744
74,1889,91,7,2026-02-03T23:34:22.325744
75,4296,176,7,2026-02-01T01:16:22.325744
76,3477,114,8,2026-02-03T04:13:22.325744
77,3229,187,2,2026-02-03T23:04:22.325744
78,2084,104,9,2026-02-03T08:01:22.325744
79,4816,98,2,2026-02-02T20:03:22.325744
80,3788,13,1,2026-01-31T19:38:22.325744
81,2360,212,1,2026-01-31T08:06:22.325744
82,3374,234,3,2026-01-30T00:19:22.325744
83,4757,154,6,2026-02-03T09:14:22.325744
84,4098,262,6,2026-02-04T20:06:22.325744
85,1887,294,9,2026-01-30T21:26:22.325744
86,4970,133,7,2026-01-30T19:29:22.325744
87,1320,198,8,2026-01-28T10:22:22.325744
88,3536,255,1,2026-02-01T18:10:22.325744
89,2617,140,7,2026-02-02T03:53:22.325744
90,4607,47,4,2026-02-01T21:44:22.325744
91,2345,164,8,2026-02-03T13:01:22.325744
92,1016,163,6,2026-02-01T13:52:22.325744
93,1649,295,2,2026-02-01T15:41:22.325744
94,1330,99,1,2026-02-06T04:44:22.325744
95,3205,176,3,2026-02-06T05:41:22.325744
96,4145,274,6,2026-01-30T10:06:22.325744
97,2656,269,1,2026-02-02T21:36:22.325744
98,4523,209,8,2026-02-03T19:46:22.325744
99,3427,120,5,2026-02-03T04:06:22.325744
100,2014,233,1,2026-02-01T17:16:22.325744
101,2672,62,1,2026-02-02T02:44:22.325744
102,3258,6,3,2026-01-28T21:38:22.325744
103,1895,300,9,2026-01-30T04:45:22.325744
104,4518,238,2,2026-01-28T23:11:22.325744
105,2483,68,9,2026-01-27T20:59:22.325744
106,1314,194,5,2026-01-28T06:11:22.325744
107,3015,82,4,2026-02-04T19:18:22.325744
108,2862,281,7,2026-02-05T02:04:22.325744
109,2766,264,7,2026-02-03T07:21:22.325744
110,2714,18,4,2026-01-31T08:46:22.325744
111,1962,162,5,2026-02-04T07:50:22.325744
112,2532,40,3,2026-01-28T19:18:22.325744
113,2124,276,3,2026-02-04T03:25:22.325744
114,4729,293,9,2026-01-28T09:02:22.325744
115,3342,131,5,2026-01-28T18:45:22.325744
116,3007,187,9,2026-02-01T22:05:22.325744
117,2528,99,6,2026-01-30T21:11:22.325744
118,1325,187,5,2026-02-05T15:26:22.325744
119,3348,70,6,2026-01-27T15:39:22.325744
120,4175,22,9,2026-01-28T12:40:22.325744
121,3113,37,6,2026-02-02T02:14:22.325744
122,4872,35,5,2026-01-30T05:42:22.325744
123,4014,299,7,2026-01-29T19:02:22.325744
124,2198,241,4,2026-01-30T00:41:22.325744
125,4084,296,10,2026-02-03T17:06:22.325744
126,2967,15,5,2026-01-29T05:14:22.325744
127,2702,244,4,2026-02-03T18:08:22.325744
128,1310,72,6,2026-02-02T03:51:22.325744
129,2535,163,8,2026-01-28T13:01:22.325744
130,2579,179,1,2026-02-04T12:58:22.325744
131,1530,125,5,2026-02-02T13:15:22.325744
132,1585,113,4,2026-02-04T17:03:22.325744
